team,player,status
"USA","Ezekiel Lindenmuth","no_image"
"USA","Maliu Niuafe","no_image"
"USA","Payton Talea","no_wiki_page"
"USA","Jason Damm","no_wiki_page"
"USA","Brandon Harvey","no_wiki_page"
"USA","Vili Helu","no_image"
"USA","Tevita Naqali","no_image"
"USA","Rick Rose","no_image"
"USA","Makeen Alikhan","no_image"
"USA","Cory Daniel","no_image"
"USA","Nafi Ma'afu","no_image"
"USA","Christian Poidevin","no_image"
"USA","Marno Redelinghuys","no_image"
"USA","Michael Baska","no_wiki_page"
"USA","Ruben de Haas","no_wiki_page"
"USA","Ethan McVeigh","no_image"
"USA","Luke Carty","no_image"
"USA","Christopher Hilsenbeck","no_image"
"USA","Dominic Besag","no_image"
"USA","Tavite Lopeti","no_image"
"USA","Erich Storti","no_image"
"USA","Malacchi Esdale","no_image"
"USA","Toby Fricker","error: error decoding response body: expected value at line 1 column 1"
"USA","Lauina Futi","no_wiki_page"
"USA","Rufus McLean","no_wiki_page"
"USA","Mark O'Keeffe","no_image"
"USA","Mitch Wilson","no_image"
"Argentina","Leonel Oviedo","no_image"
"Argentina","Luciano Asevedo","no_image"
"Argentina","Joaquín Moro","no_image"
"Argentina","Juan Penoucos","no_image"
"Argentina","Faustino Sánchez Valarolo","no_image"
"Argentina","Agustín Fraga","no_image"
"Argentina","Mateo Soler","no_image"
"Georgia","Luka Petriashvili","no_image"
"Georgia","Bachuki Tchumbadze","no_image"
"Georgia","Kote Mikautadze","no_image"
"Georgia","Otar Giorgadze","no_image"
"Georgia","Mikheil Alania","no_image"
"Georgia","Giorgi Khaindrava","no_image"
"Georgia","Roma Makhatadze","no_image"
"Samoa","Pita Anae Ah-Sue","no_image"
"Samoa","Richie Asiata","no_image"
"Samoa","Manaaki Boyle-Tiatia","no_image"
"Samoa","Aki Seiuli","no_image"
"Samoa","Jeffery Toomaga-Allen","no_image"
"Samoa","Sam Slade","no_image"
"Samoa","Peter Umaga-Jensen","no_image"
"Samoa","Taunu'u Niulevaea","no_image"
"Samoa","Warren Solomona","no_image"
"Japan","Hayate Era","no_image"
"Japan","Mamoru Harada","no_image"
"Japan","Takato Okabe","no_image"
"Japan","Sojiro Otsuka","no_image"
"Japan","Izi Sword","no_image"
"Japan","Michael Stolberg","no_image"
"Japan","Esei Ha'angana","no_image"
"Japan","Waisake Raratubua","no_image"
"Japan","Takuro Hojo","no_image"
"Japan","Itsuki Kamimura","no_image"
"Japan","Haruto Watanabe","no_image"
"Japan","Ryunosuke Ito","no_image"
"Japan","Samisoni Tua","no_image"
"Japan","Inoke Burua","no_image"
"Japan","Takuro Matsunaga","no_image"
"Japan","Shunsuke Uenobo","no_image"
"Ireland","Sam Illo","no_image"
"Ireland","Darragh Murray","no_image"
"Ireland","Sean Jansen","no_image"
"Ireland","Jimmy O'Brien","no_image"
"USA","Shilo Klein","no_image"
"USA","Kapeli Pifeleti","no_image"
"USA","Alex Maughan","no_image"
"USA","Ma'ake Muti","no_image"
"USA","Mason Pedersen","no_image"
"USA","Nathan Den Hoedt","no_image"
"USA","Benjamín Bonasso","no_image"
"USA","Lance Williams","no_image"
"USA","Cassh Maluia","no_image"
"USA","Julian Roberts","no_image"
"USA","Joe Mano","no_image"
"USA","Connor Mooneyham","no_image"
"USA","John Rizzo","no_image"
"South Africa","Carlü Sadie","no_image"
"South Africa","Ruben van Heerden","no_image"
"South Africa","Vincent Tshituka","no_image"
"South Africa","Cobus Wiese","no_image"
"South Africa","Embrose Papier","no_image"
"South Africa","Vusi Moyo","no_image"
"South Africa","Quan Horn","no_image"
"South Africa","Jaco Williams","no_image"
"New Zealand","Anton Segner","no_image"
"New Zealand","Kyle Preston","no_image"
"Fiji","Luke Tagi","no_image"
"Fiji","Tevita Ratuva","no_image"
"Scotland","Seb Stephen","no_image"
"Scotland","Will Hurd","no_image"
"Scotland","Alex Samuel","no_image"
"Italy","Giulio Marini","no_image"
"Italy","Malik Faissal","no_image"
"England","Asher Opoku-Fordjour","no_image"
"England","George Kloska","no_image"
"England","George Martin","no_image"
"England","Ted Hill","error: error decoding response body: expected value at line 1 column 1"
"England","Benhard Janse van Rensburg","no_wiki_page"
"England","Noah Caluori","no_wiki_page"
"France","Barnabé Massa","no_wiki_page"
"France","Florian Verhaeghe","no_wiki_page"
"France","Pierre Bochaton","no_wiki_page"
"France","Esteban Capilla","no_wiki_page"
"France","Marko Gazzotti","no_wiki_page"
"France","Killian Tixeront","no_wiki_page"
"France","Paul Graou","no_wiki_page"
"France","Nolann Le Garrec","no_wiki_page"
"France","Auguste Cadot","no_image"
"France","Mathis Ferté","no_wiki_page"
"France","Théo Forner","no_wiki_page"
"France","Damian Penaud","no_wiki_page"
"France","Max Spring","no_wiki_page"
"Australia","Brandon Paenga-Amosa","no_wiki_page"
"Australia","James Slipper","no_wiki_page"
"Australia","Miles Amatosero","no_wiki_page"
"Australia","Lachlan Shaw","no_image"
"Australia","Charlie Cale","no_image"
"Australia","Declan Meredith","no_image"
"Australia","Tom Wright","no_wiki_page"
"Zimbabwe","Michael Kumbirai","no_wiki_page"
"Zimbabwe","Farai Mudariki","no_wiki_page"
"Zimbabwe","Tjide Visser","no_wiki_page"
"Zimbabwe","Gary Porter","no_wiki_page"
"Zimbabwe","Tatenda Kamubvumbi","no_image"
